Docente,Curso,Día,Hora Inicio,Hora Fin,Salón
Juan Carlos Pérez López,MAT-5A,Lunes,06:20,08:20,Aula 201
Juan Carlos Pérez López,MAT-5A,Martes,06:20,08:20,Aula 201
Juan Carlos Pérez López,MAT-5A,Miércoles,06:20,08:20,Aula 201
Juan Carlos Pérez López,MAT-5A,Jueves,06:20,08:20,Aula 201
Juan Carlos Pérez López,MAT-5A,Viernes,06:20,08:20,Aula 201
María Ana García Torres,COM-5A,Lunes,08:35,10:35,Aula 102
María Ana García Torres,COM-5A,Martes,08:35,10:35,Aula 102
María Ana García Torres,COM-5A,Miércoles,08:35,10:35,Aula 102
María Ana García Torres,COM-5A,Jueves,08:35,10:35,Aula 102
María Ana García Torres,COM-5A,Viernes,08:35,10:35,Aula 102
Carlos Eduardo Mendoza Ruiz,CYT-5B,Lunes,10:50,12:50,Lab. Física
Carlos Eduardo Mendoza Ruiz,CYT-5B,Martes,10:50,12:50,Lab. Física
Carlos Eduardo Mendoza Ruiz,CYT-5B,Miércoles,10:50,12:50,Lab. Física
Carlos Eduardo Mendoza Ruiz,CYT-5B,Jueves,10:50,12:50,Lab. Física
Carlos Eduardo Mendoza Ruiz,CYT-5B,Viernes,10:50,12:50,Lab. Física
